site,logp1_parrotfish_biomass_kg,logp1_large_parrotfish_biomass_kg,logp1_midnightPF_biomass_kg,logp1_bluePF_biomass_kg,logp1_rainbowPF_biomass_kg,logp1_stoplightPF_biomass_kg,midnightPA,bluePA,rainbowPA,stoplightPA,Year,Month,Latitude,Longitude,Depth,Coral_cover,Reef_complexity,SST,NPP,Wave_exposure,HABITAT_CD,Coral_area_UFRTM_20km,Coral_area_UFRTM_200km,Deepwater,slips45_10km,Marine_reserve,population_20km,population_50km,rec_fishermen_50km,Artificial_reefs_1km,Gravity_total,nursery_seagrass,nursery_mangroves,connectivity,RecEng,pf_preds_biomass_kg,pf_no_midnight_biomass_kg,pf_no_blue_biomass_kg,pf_no_rainbow_biomass_kg,pf_no_stoplight_biomass_kg,turf_cover,macroalgae_cover,random
2813594_753H,0,0,0,0,0,0,0,0,0,0,2012,June,24.5699833,-82.9741833,23.5,10,1.65,23.1313721,501.1044006,7.467718124,ISOL_LR,38422,824685,4669.848633,0,Open,0,0,0,0,29,247336.1875,53455.84766,2.474678457,-0.26,0,0,0,0,0,0,0,6533
2813594_753U,5.691540287,5.120610756,0,4.52349591,0,4.334415934,0,1,0,1,2012,June,24.5699167,-82.9742333,19.8,2.5,1,23.1313721,501.1044006,7.467718124,CONT_MR,38422,824685,4669.848633,0,Open,0,0,0,0,29,247336.1875,53455.84766,2.474678457,-0.26,380.0115021,295.3497329,204.192524,295.3497329,220.0693398,0,0,8767
2817352_E10U,4.408069321,3.93750013,0,0,0,3.93750013,0,0,0,1,2012,July,24.5838,-82.9719333,14.88715203,2.744646681,0.770182013,23.0803772,522.9598389,7.388662338,CONT_MR,41609,828347,4101.219238,0,Open,0,0,0,0,29,406496,49290.61719,2.474678457,-0.26,39.12802616,81.11078077,81.11078077,81.11078077,30.82055874,NA,NA,3923
2821102_790U,4.082135514,3.156669354,0,0,0,3.156669354,0,0,0,1,2012,July,24.58365,-82.97055,15.37252525,4.448484848,1.487979798,23.0788818,523.8997192,7.388045311,CONT_HR,41846,829271,4159.797852,0,Open,0,0,0,0,29,418333.125,48308.48828,2.474678457,-0.26,6972.503518,58.27191078,58.27191078,58.27191078,35.77968957,17,54,6259
2821116_754U,3.62725803,0.651898543,0,0,0,0.651898543,0,0,0,1,2012,July,24.60886681,-82.97084163,12.99933775,1,0.400110375,22.9882446,563.1449585,7.312700748,CONT_LR,45705,832587,2404.163086,0,Open,0,0,0,0,29,794854.0625,42082.62891,1.54666974,-0.26,0,36.60955084,36.60955084,36.60955084,35.69036982,NA,NA,7370
2824869_D13U,3.498943517,2.313729746,0,0,0,2.313729746,0,0,0,1,2012,July,24.6143667,-82.9680333,14.01501632,1.243743199,0.40125136,22.9671265,574.7213745,7.375141144,CONT_LR,47296,836209,2262.741699,0,Open,0,0,0,0,29,994481.625,37535.375,1.54666974,-0.26,0,32.08048452,32.08048452,32.08048452,22.96841466,NA,NA,2004
2832346_D92U,3.397466505,2.412406549,0,0,0,2.412406549,0,0,0,1,2012,June,24.57346354,-82.96385187,20.99295624,7.07470651,1.198132337,23.1019836,515.0974121,7.434785366,ISOL_LR,41149,834805,5474.011719,0,Open,0,0,0,0,29,388016.6875,43043.07422,2.474678457,-0.26,0,28.88828222,28.88828222,28.88828222,18.72749438,NA,NA,3461
2836093_811U,4.706525872,4.545247123,4.355922655,0,0,2.84752205,1,0,0,1,2012,June,24.56789493,-82.96113579,22.7,10.12455197,2.819086022,23.1153198,509.5904541,7.468230247,ISOL_HR,40398,836813,6039.696777,0,Open,0,0,0,0,29,367251.9063,40756.59375,2.474678457,-0.26,863.0551563,32.72831726,109.6670199,109.6670199,93.42202334,NA,NA,6149
2836095_792U,3.334643528,0,0,0,0,0,0,0,0,0,2012,June,24.57085857,-82.9627928,21.80318471,4.763269639,0.826857749,23.1093994,511.9410095,7.468705654,ISOL_LR,40644,835357,5715.433106,0,Open,0,0,0,0,29,372286.9375,42417.23047,2.474678457,-0.26,8.968568668,27.06837586,27.06837586,27.06837586,27.06837586,NA,NA,5884
2836118_N02U,4.492494715,3.912841583,0,2.752201671,0,3.565689713,0,1,0,1,2012,July,24.6136333,-82.9621,13.65777096,2.991820041,1.422750511,22.9666077,579.6091309,7.326207638,CONT_MR,48311,841743,2745.584473,0,Open,0,0,0,0,29,1295674.625,32077.46289,1.54666974,-0.26,31.96104709,88.34405607,73.66694632,88.34405607,53.98022018,NA,NA,905
